dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2024-10-16T17:00:00Z","2024-10-16T18:00:00Z","2024-10-06T12:51:25Z","","1bc7fbf69e1c2ebe72c159d208f489e7@mulife.ie","","2022-09-29T19:26:55Z"," Wednesday sessions for advanced levels will include light sparring, partner drills and pad work, we will work specifically to hone previously gone over combinations and play around with stringing combinations together. We will also work to introduce new techniques both offensive and defensive as well as continuing to develop footwork. Conditioning will include leg and core conditioning. For sparring bring gum shield, wraps, gloves and shin guards. For beginners we will expand on fundamentals and techniques as well as flexibility, mobility and conditioning. Bring hand wraps and gloves if you have them.","2024-09-19T05:59:57Z","Small Sports Hall (Phoenix Building)","0","CONFIRMED","Muay Thai and Kickboxing Drills - Kickboxing [Physical Activity] MU Life","OPAQUE"
"2024-10-16T10:00:00Z","2024-10-16T11:00:00Z","2024-10-06T12:51:25Z","","384188ba7eaa842180d6186be6a5d23b@mulife.ie","","2021-10-20T10:20:18Z"," This is Wednesday's Test Activity,This is Wednesday's Test Activity,This is Wednesday's Test Activity. This is Wednesday's Test Activity,This is Wednesday's Test Activity,This is Wednesday's Test Activity,This is Wednesday's Test Activity. This is Wednesday's Test Activity","2024-09-19T05:59:57Z","JHI John Hume building","0","CONFIRMED","Wednesday's Test Activity - Test Society [Physical Activity] MU Life","OPAQUE"
"2024-10-16T17:30:00Z","2024-10-16T18:30:00Z","2024-10-06T12:51:25Z","","3c815332f3c00e263d67d2c4327c908d@mulife.ie","","2023-10-10T17:18:30Z"," Hey :) We run different events every week such as Movie Screenings, Origami Nights, Haiku Nights etc. The details of what we are doing this week will be sent out in emails to members or you can check out our Instagram Mujapansoc. Open to whoever wants to come by. Hope to see you there! ","2024-09-19T05:59:57Z","Location updated weekly","0","CONFIRMED","Japanese Culture Society Weekly Meetup - Japanese Culture [Physical Activity] MU Life","OPAQUE"
"2024-10-17T17:00:00Z","2024-10-17T18:00:00Z","2024-10-06T12:51:25Z","","b849fb8c60aeb5e998caf1d5cd16c86a@mulife.ie","","2021-09-28T16:54:26Z"," Beginners Aikido Class. We begin with some stretching exercises, movement drills and falling drills. Then we will start looking at some basic techniques. All are welcome","2024-09-20T03:59:57Z","PE Hall, Sports Centre","0","CONFIRMED","Aikido Class - Aikido [Physical Activity] MU Life","OPAQUE"
"2024-10-16T17:30:00Z","2024-10-16T18:30:00Z","2024-10-06T12:51:25Z","","30d2d466be1ad297e27c9dcd1deb5ba6@mulife.ie","","2024-09-20T12:21:14Z"," Join us for our weekly movie screenings. Check our instagram, whatsapp groupchat, discord, or subscribe to our mailing list to get updates on what movie we will be watching that week! The venue might be subject to change and we will post the new venue if that is the case.","2024-09-20T13:59:57Z","Iontas Lecture Theater","0","CONFIRMED","Film Screening Weekly - Film [Physical Activity] MU Life","OPAQUE"
"2024-10-09T17:30:00Z","2024-10-09T18:30:00Z","2024-10-06T12:51:25Z","","a6832b0d6837bf443cbee7fa008b39f3@mulife.ie","","2024-09-20T12:21:14Z"," Join us for our weekly movie screenings. Check our instagram, whatsapp groupchat, discord, or subscribe to our mailing list to get updates on what movie we will be watching that week! The venue might be subject to change and we will post the new venue if that is the case.","2024-09-20T13:59:57Z","Iontas Lecture Theater","0","CONFIRMED","Film Screening Weekly - Film [Physical Activity] MU Life","OPAQUE"
"2024-10-18T13:00:00Z","2024-10-18T14:00:00Z","2024-10-06T12:51:25Z","","28ab36b1453b04e044cbca765f30fa2e@mulife.ie","","2022-09-29T23:24:41Z"," Focusing on the clinching aspect of Muay Thai, sweeps trips and knees are a huge aspect of Muay Thai and we will work from the basics with medium intensity clinch practice and light knees as well as sweeps","2024-09-21T00:59:58Z","PE Hall (Phoenix Building)","0","CONFIRMED","Muay Thai Clinch - Kickboxing [Physical Activity] MU Life","OPAQUE"
"2024-10-21T17:00:00Z","2024-10-21T18:00:00Z","2024-10-06T12:51:25Z","","281f43f054a7e20c8f113102080ebd13@mulife.ie","","2022-09-29T19:15:41Z","Fundamentals of Muay Thai and Kickboxing will run through the basics of punching, kicking, throwing knees and combinations as well as the fundamentals of footwork.  We will work on the basics by demonstration and work to hone those skills through shadow boxing and pad work. The class will also include conditioning through circuits, core conditioning, pad work and shadow boxing. Equipment required for beginners are hand wraps and gloves if you have them. For advanced fighters there will be light sparring with gumshields gloves and shin guards.","2024-09-24T01:59:57Z","Small Sports Hall (Phoenix Building)","0","CONFIRMED","Muay Thai and Kickboxing Fundamentals - Kickboxing [Physical Activity] MU Life","OPAQUE"
"2024-10-21T10:00:00Z","2024-10-21T11:00:00Z","2024-10-06T12:51:25Z","","9787eaa586b5fb04f6a806c8fe97c8eb@mulife.ie","","2024-08-22T13:04:45Z"," MU Soccer Indoor 5 A Side Futsal League You may be interested in play Indoor 5 A Side Futsal. Our Indoor 5 a side Futsal tournament takes place over March & April annually. For further Information contact barry.prenderville@mu.ie","2024-09-24T01:59:57Z","MU Large Sports Hall (Phoenix)","0","CONFIRMED","MU Soccer 5 A Side Futsal League - Soccer [Physical Activity] MU Life","OPAQUE"
"2024-10-21T10:00:00Z","2024-10-21T11:00:00Z","2024-10-06T12:51:25Z","","cd34e77a0691942b281f5fdd5fb1b93c@mulife.ie","","2023-09-18T19:20:12Z"," Join us for a chill morning of coffee and conversation! Whether you're learning and want to practice your oral skills, or you're a native speaker and want to meet other people like you, this is the place for you. We aim to speak as much Spanish as we're each able to, and get to know each other while we do it. ¡Únete a nosotros! ¡Nos divertiremos!","2024-09-24T01:59:57Z","MSU Silken Thomas Yew Meeting Room","0","CONFIRMED","Café y Charlar - Conversation Hour - Spanish [Physical Activity] MU Life","OPAQUE"
"2024-10-07T19:00:00Z","2024-10-07T20:00:00Z","2024-10-06T12:51:25Z","","18104a8e4ef3617bb89f30a3930d8e2c@mulife.ie","","2023-10-03T16:07:43Z"," Join us for our weekly Youth 2000 prayer meeting. Includes: Adoration, Rosary, Gospel reading and reflection, music, followed by a social afterwards in the Common room. All welcome!","2024-09-24T23:59:57Z","St. Catherine's Chapel, North Campus","0","CONFIRMED","Youth 2000 Prayer meeting - Catholic [Physical Activity] MU Life","OPAQUE"
"2024-10-22T17:00:00Z","2024-10-22T18:00:00Z","2024-10-06T12:51:25Z","","3b9c462cdcfaa3209b949c2794cbb0fa@mulife.ie","","2021-09-28T16:53:58Z"," Beginners Aikido Class. We start with some warm up exercises and then move onto some movement drills and falling drills. Following this we will start on some basic techniques. All are welcome!","2024-09-24T23:59:57Z","PE Hall, Sports Centre","0","CONFIRMED","Aikido Class - Aikido [Physical Activity] MU Life","OPAQUE"
"2024-10-21T19:00:00Z","2024-10-21T20:00:00Z","2024-10-06T12:51:25Z","","8cdac0066fadef8ce58c635d949eaf33@mulife.ie","","2023-10-03T16:07:43Z"," Join us for our weekly Youth 2000 prayer meeting. Includes: Adoration, Rosary, Gospel reading and reflection, music, followed by a social afterwards in the Common room. All welcome!","2024-09-24T23:59:57Z","St. Catherine's Chapel, North Campus","0","CONFIRMED","Youth 2000 Prayer meeting - Catholic [Physical Activity] MU Life","OPAQUE"
"2024-10-14T19:00:00Z","2024-10-14T20:00:00Z","2024-10-06T12:51:25Z","","c044cbac1be7f18ce2c779074b2acce2@mulife.ie","","2023-10-03T16:07:43Z"," Join us for our weekly Youth 2000 prayer meeting. Includes: Adoration, Rosary, Gospel reading and reflection, music, followed by a social afterwards in the Common room. All welcome!","2024-09-24T23:59:57Z","St. Catherine's Chapel, North Campus","0","CONFIRMED","Youth 2000 Prayer meeting - Catholic [Physical Activity] MU Life","OPAQUE"
"2024-10-15T09:00:00Z","2024-10-15T10:00:00Z","2024-10-06T12:51:25Z","","1ca466511ca3af87ad3d62061151f615@mulife.ie","","2024-09-24T18:33:55Z"," Every Wednesday from 10am - 12pm the Classics Society will hold their weekly Tea & Coffee morning ! All are welcome to attend :) The activity will be held in Silken Thomas Yew, which is upstairs in the MSU Info Centre unless stated otherwise. Keep an eye on our socials (@Classicssoc) for any changes that may be made to our T&C mornings and for more information on our big monthly events ! We hope to see you there :)","2024-09-25T10:59:57Z","Silken Thomas Yew","0","CONFIRMED","Tea & Coffee Morning - Classics [Physical Activity] MU Life","OPAQUE"
"2024-10-07T11:00:00Z","2024-10-07T12:00:00Z","2024-10-06T12:51:25Z","","252f639ec3cf9358037b154c7bb5f9cc@mulife.ie","","2024-09-19T19:03:18Z"," Every monday 12 to 2 join us as well as some other nerdy societies to drink tea relax and start your week off right in the nerdiest way","2024-09-25T10:59:57Z","rye events space","0","CONFIRMED","NerdTea!!! - Anime & Sci Fi [Physical Activity] MU Life","OPAQUE"
"2024-10-14T11:00:00Z","2024-10-14T12:00:00Z","2024-10-06T12:51:25Z","","6a998cf8a4e659aab017b5d54d4980dc@mulife.ie","","2024-09-19T19:03:18Z"," Every monday 12 to 2 join us as well as some other nerdy societies to drink tea relax and start your week off right in the nerdiest way","2024-09-25T10:59:57Z","rye events space","0","CONFIRMED","NerdTea!!! - Anime & Sci Fi [Physical Activity] MU Life","OPAQUE"
"2024-10-22T09:00:00Z","2024-10-22T10:00:00Z","2024-10-06T12:51:25Z","","86f6746a0b048714eaa95dd6e97fdc9a@mulife.ie","","2024-09-24T18:33:55Z"," Every Wednesday from 10am - 12pm the Classics Society will hold their weekly Tea & Coffee morning ! All are welcome to attend :) The activity will be held in Silken Thomas Yew, which is upstairs in the MSU Info Centre unless stated otherwise. Keep an eye on our socials (@Classicssoc) for any changes that may be made to our T&C mornings and for more information on our big monthly events ! We hope to see you there :)","2024-09-25T10:59:57Z","Silken Thomas Yew","0","CONFIRMED","Tea & Coffee Morning - Classics [Physical Activity] MU Life","OPAQUE"
"2024-10-08T09:00:00Z","2024-10-08T10:00:00Z","2024-10-06T12:51:25Z","","adad34ffbdd13fab5a6c07cff7b79b98@mulife.ie","","2024-09-24T18:33:55Z"," Every Wednesday from 10am - 12pm the Classics Society will hold their weekly Tea & Coffee morning ! All are welcome to attend :) The activity will be held in Silken Thomas Yew, which is upstairs in the MSU Info Centre unless stated otherwise. Keep an eye on our socials (@Classicssoc) for any changes that may be made to our T&C mornings and for more information on our big monthly events ! We hope to see you there :)","2024-09-25T10:59:57Z","Silken Thomas Yew","0","CONFIRMED","Tea & Coffee Morning - Classics [Physical Activity] MU Life","OPAQUE"
"2024-10-21T11:00:00Z","2024-10-21T12:00:00Z","2024-10-06T12:51:25Z","","d55d6a2fc51a61a27000a5abe8dceb64@mulife.ie","","2024-09-19T19:03:18Z"," Every monday 12 to 2 join us as well as some other nerdy societies to drink tea relax and start your week off right in the nerdiest way","2024-09-25T10:59:57Z","rye events space","0","CONFIRMED","NerdTea!!! - Anime & Sci Fi [Physical Activity] MU Life","OPAQUE"
"2024-10-07T17:00:00Z","2024-10-07T18:00:00Z","2024-10-06T12:51:25Z","","24164ce76323d864a889d7fd7a19c01f@mulife.ie","","2024-09-25T11:46:03Z"," Our weekly meet-up at Gravity Climbing Centre in Inchicore. It is great for all levels of bouldering and great way to meet up with fellow climbers in the university. There is the C3 and C4 dublin busses to Memorial gardens and a 20 minute walk. If you have never climbed before, please book a induction at Gravity where the staff will help you learn the basic and how to stay safe while climbing. ","2024-09-25T16:59:58Z","Gravity Climbing","0","CONFIRMED","Monday Climbing Session - Rock Climbing [Physical Activity] MU Life","OPAQUE"
"2024-10-17T17:00:00Z","2024-10-17T18:00:00Z","2024-10-06T12:51:25Z","","3038fd2e0b3d85eb5d156009f6b7565b@mulife.ie","","2024-09-25T11:48:05Z"," Our weekly meet-up at Gravity Climbing Centre in Inchicore. It is great for all levels of bouldering and great way to meet up with fellow climbers in the university. There is the C3 and C4 dublin busses to Memorial gardens and a 20 minute walk. If you have never climbed before, please book a induction at Gravity where the staff will help you learn the basic and how to stay safe while climbing.","2024-09-25T16:59:58Z","Gravity Climbing Centre","0","CONFIRMED","Thursday Climbing session - Rock Climbing [Physical Activity] MU Life","OPAQUE"
"2024-10-21T17:00:00Z","2024-10-21T18:00:00Z","2024-10-06T12:51:25Z","","315281a003cba30c708f90bae3b2f726@mulife.ie","","2024-09-25T11:46:03Z"," Our weekly meet-up at Gravity Climbing Centre in Inchicore. It is great for all levels of bouldering and great way to meet up with fellow climbers in the university. There is the C3 and C4 dublin busses to Memorial gardens and a 20 minute walk. If you have never climbed before, please book a induction at Gravity where the staff will help you learn the basic and how to stay safe while climbing. ","2024-09-25T16:59:58Z","Gravity Climbing","0","CONFIRMED","Monday Climbing Session - Rock Climbing [Physical Activity] MU Life","OPAQUE"
"2024-10-15T11:00:00Z","2024-10-15T12:00:00Z","2024-10-06T12:51:25Z","","721293a90f9c3986750214129e4ffbb0@mulife.ie","","2024-09-25T13:05:57Z"," We will be reading Friedrich Nietzsche's book Twilight of the Idols. There will be handouts provided! So just bring yourself (or other poor souls you have 'convinced' to attend). No prior knowledge required! We will be reading the book as a group, out loud, and then discuss what we think about it. Simultaneously, you are not required to read as the host will make up for it by reading more passages if needs be.","2024-09-25T16:59:58Z","Clubs & Socs Rye space 2","0","CONFIRMED","Reading circle: 'Twilight of the Idols' - Philosophy [Physical Activity] MU Life","OPAQUE"
"2024-10-14T17:00:00Z","2024-10-14T18:00:00Z","2024-10-06T12:51:25Z","","7c149876e59f7b95171fe6ba257b3c44@mulife.ie","","2024-09-25T11:46:03Z"," Our weekly meet-up at Gravity Climbing Centre in Inchicore. It is great for all levels of bouldering and great way to meet up with fellow climbers in the university. There is the C3 and C4 dublin busses to Memorial gardens and a 20 minute walk. If you have never climbed before, please book a induction at Gravity where the staff will help you learn the basic and how to stay safe while climbing. ","2024-09-25T16:59:58Z","Gravity Climbing","0","CONFIRMED","Monday Climbing Session - Rock Climbing [Physical Activity] MU Life","OPAQUE"
"2024-10-08T11:00:00Z","2024-10-08T12:00:00Z","2024-10-06T12:51:25Z","","d03d75e493ebb9c099686af7d5005cc8@mulife.ie","","2024-09-25T13:05:57Z"," We will be reading Friedrich Nietzsche's book Twilight of the Idols. There will be handouts provided! So just bring yourself (or other poor souls you have 'convinced' to attend). No prior knowledge required! We will be reading the book as a group, out loud, and then discuss what we think about it. Simultaneously, you are not required to read as the host will make up for it by reading more passages if needs be.","2024-09-25T16:59:58Z","Clubs & Socs Rye space 2","0","CONFIRMED","Reading circle: 'Twilight of the Idols' - Philosophy [Physical Activity] MU Life","OPAQUE"
"2024-10-22T11:00:00Z","2024-10-22T12:00:00Z","2024-10-06T12:51:25Z","","f7eb4a8c68b85e77e308e31f02620c97@mulife.ie","","2024-09-25T13:05:57Z"," We will be reading Friedrich Nietzsche's book Twilight of the Idols. There will be handouts provided! So just bring yourself (or other poor souls you have 'convinced' to attend). No prior knowledge required! We will be reading the book as a group, out loud, and then discuss what we think about it. Simultaneously, you are not required to read as the host will make up for it by reading more passages if needs be.","2024-09-25T16:59:58Z","Clubs & Socs Rye space 2","0","CONFIRMED","Reading circle: 'Twilight of the Idols' - Philosophy [Physical Activity] MU Life","OPAQUE"
"2024-10-10T17:00:00Z","2024-10-10T18:00:00Z","2024-10-06T12:51:25Z","","ffcff0b0058d1be980a6e59cb5a58b63@mulife.ie","","2024-09-25T11:48:05Z"," Our weekly meet-up at Gravity Climbing Centre in Inchicore. It is great for all levels of bouldering and great way to meet up with fellow climbers in the university. There is the C3 and C4 dublin busses to Memorial gardens and a 20 minute walk. If you have never climbed before, please book a induction at Gravity where the staff will help you learn the basic and how to stay safe while climbing.","2024-09-25T16:59:58Z","Gravity Climbing Centre","0","CONFIRMED","Thursday Climbing session - Rock Climbing [Physical Activity] MU Life","OPAQUE"
"2024-10-23T17:30:00Z","2024-10-23T18:30:00Z","2024-10-06T12:51:25Z","","96a8a31d7cbcb75d80c19f4fbae1a50d@mulife.ie","","2024-09-20T12:21:14Z"," Join us for our weekly movie screenings. Check our instagram, whatsapp groupchat, discord, or subscribe to our mailing list to get updates on what movie we will be watching that week! The venue might be subject to change and we will post the new venue if that is the case.","2024-09-26T02:59:57Z","Iontas Lecture Theater","0","CONFIRMED","Film Screening Weekly - Film [Physical Activity] MU Life","OPAQUE"
"2024-10-23T10:00:00Z","2024-10-23T11:00:00Z","2024-10-06T12:51:25Z","","9d653782a1c282101e2983c047044593@mulife.ie","","2021-10-20T10:20:18Z"," This is Wednesday's Test Activity,This is Wednesday's Test Activity,This is Wednesday's Test Activity. This is Wednesday's Test Activity,This is Wednesday's Test Activity,This is Wednesday's Test Activity,This is Wednesday's Test Activity. This is Wednesday's Test Activity","2024-09-26T02:59:57Z","JHI John Hume building","0","CONFIRMED","Wednesday's Test Activity - Test Society [Physical Activity] MU Life","OPAQUE"
"2024-10-23T17:00:00Z","2024-10-23T18:00:00Z","2024-10-06T12:51:25Z","","e48890a8ece1697d5b5600b6c7b6fcd1@mulife.ie","","2022-09-29T19:26:55Z"," Wednesday sessions for advanced levels will include light sparring, partner drills and pad work, we will work specifically to hone previously gone over combinations and play around with stringing combinations together. We will also work to introduce new techniques both offensive and defensive as well as continuing to develop footwork. Conditioning will include leg and core conditioning. For sparring bring gum shield, wraps, gloves and shin guards. For beginners we will expand on fundamentals and techniques as well as flexibility, mobility and conditioning. Bring hand wraps and gloves if you have them.","2024-09-26T02:59:57Z","Small Sports Hall (Phoenix Building)","0","CONFIRMED","Muay Thai and Kickboxing Drills - Kickboxing [Physical Activity] MU Life","OPAQUE"
"2024-10-23T17:30:00Z","2024-10-23T18:30:00Z","2024-10-06T12:51:25Z","","f9f3df2a895ca6678a61b149bb1a143a@mulife.ie","","2023-10-10T17:18:30Z"," Hey :) We run different events every week such as Movie Screenings, Origami Nights, Haiku Nights etc. The details of what we are doing this week will be sent out in emails to members or you can check out our Instagram Mujapansoc. Open to whoever wants to come by. Hope to see you there! ","2024-09-26T02:59:57Z","Location updated weekly","0","CONFIRMED","Japanese Culture Society Weekly Meetup - Japanese Culture [Physical Activity] MU Life","OPAQUE"
"2024-10-24T17:00:00Z","2024-10-24T18:00:00Z","2024-10-06T12:51:25Z","","012eb1cabe79eaaa12676f3e8d5c985a@mulife.ie","","2021-09-28T16:54:26Z"," Beginners Aikido Class. We begin with some stretching exercises, movement drills and falling drills. Then we will start looking at some basic techniques. All are welcome","2024-09-27T07:59:57Z","PE Hall, Sports Centre","0","CONFIRMED","Aikido Class - Aikido [Physical Activity] MU Life","OPAQUE"
"2024-10-24T17:00:00Z","2024-10-24T18:00:00Z","2024-10-06T12:51:25Z","","c1da54f8f91d8467c8e015bb32ea29aa@mulife.ie","","2024-09-25T11:48:05Z"," Our weekly meet-up at Gravity Climbing Centre in Inchicore. It is great for all levels of bouldering and great way to meet up with fellow climbers in the university. There is the C3 and C4 dublin busses to Memorial gardens and a 20 minute walk. If you have never climbed before, please book a induction at Gravity where the staff will help you learn the basic and how to stay safe while climbing.","2024-09-27T07:59:57Z","Gravity Climbing Centre","0","CONFIRMED","Thursday Climbing session - Rock Climbing [Physical Activity] MU Life","OPAQUE"
"2024-10-25T13:00:00Z","2024-10-25T14:00:00Z","2024-10-06T12:51:25Z","","f2116fb0014d8ca350074d839975f379@mulife.ie","","2022-09-29T23:24:41Z"," Focusing on the clinching aspect of Muay Thai, sweeps trips and knees are a huge aspect of Muay Thai and we will work from the basics with medium intensity clinch practice and light knees as well as sweeps","2024-09-28T06:59:57Z","PE Hall (Phoenix Building)","0","CONFIRMED","Muay Thai Clinch - Kickboxing [Physical Activity] MU Life","OPAQUE"
"2024-10-08T13:00:00Z","2024-10-08T14:00:00Z","2024-10-06T12:51:25Z","","323143fb82edafd5630e68f2f7088d09@mulife.ie","","2024-09-29T16:51:37Z"," Archery training: Come along to shoot! Whether you've been shooting for years, or are yet to start you are more than welcome to come along!","2024-09-30T13:59:57Z","Large Sports Hall, Phoenix Building","0","CONFIRMED","Tuesday Training - Archery [Physical Activity] MU Life","OPAQUE"
"2024-10-15T13:00:00Z","2024-10-15T14:00:00Z","2024-10-06T12:51:25Z","","365969caeb66a7b0f2880d6a5649f6ec@mulife.ie","","2024-09-29T16:51:37Z"," Archery training: Come along to shoot! Whether you've been shooting for years, or are yet to start you are more than welcome to come along!","2024-09-30T13:59:57Z","Large Sports Hall, Phoenix Building","0","CONFIRMED","Tuesday Training - Archery [Physical Activity] MU Life","OPAQUE"
